date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2020-08-06,21.51,,,,,,,,,,,,,
2020-08-07,24.9,,,,,,,,,,,,,
2020-08-10,21.67,,,,,,,,,,,,,
2020-08-11,20.58,,,,,,,,,,,,,
2020-08-12,20.0,,,,,,,,,,,,,
2020-08-13,18.74,,,,,,,,,,,,,
2020-08-14,18.96,,,,,,,,,,,,,
2020-08-17,19.04,,,,,,,,,,,,,
2020-08-18,20.14,,,,,,,,,,,,,
2020-08-19,21.4,,,,,,,,,,,,,
2020-08-20,23.79,,,,,,,,,,,,,
2020-08-21,25.89,,,,,,,,,,,,,
2020-08-24,29.11,,,,,,,,,,,,,
2020-08-25,28.61,,,,,,,,,,,,,
2020-08-26,27.32,,,,,,,,,,,,,
2020-08-27,27.1,,,,,,,,,,,,,
2020-08-28,28.42,,,,,,,,,,,,,
2020-08-31,28.0,,,,,,,,,,,,,
2020-09-01,30.71,,,,,,,,,,,,,
2020-09-02,31.31,,,,,,,,,,,,,
2020-09-03,26.5,,,,,,,,,,,,,
2020-09-04,24.57,,,,,,,,,,,,,
2020-09-08,22.74,,,,,,,,,,,,,
2020-09-09,23.39,,,,,,,,,,,,,
2020-09-10,23.15,,,,,,,,,,,,,
2020-09-11,22.75,,,,,,,,,,,,,
2020-09-14,23.7,,,,,,,,,,,,,
2020-09-15,23.36,,,,,,,,,,,,,
2020-09-16,22.72,,,,,,,,,,,,,
2020-09-17,22.57,,,,,,,,,,,,,
2020-09-18,22.27,,,,,,,,,,,,,
2020-09-21,21.42,,,,,,,,,,,,,
2020-09-22,21.57,,,,,,,,,,,,,
2020-09-23,20.3,,,,,,,,,,,,,
2020-09-24,20.06,,,,,,,,,,,,,
2020-09-25,20.52,,,,,,,,,,,,,
2020-09-28,20.67,,,,,,,,,,,,,
2020-09-29,20.07,,,,,,,,,,,,,
2020-09-30,19.93,,,,,,,,,,,,,
2020-10-01,22.66,,,,,,,,,,,,,
2020-10-02,23.0,,,,,,,,,,,,,
2020-10-05,22.56,,,,,,,,,,,,,
2020-10-06,21.72,,,,,,,,,,,,,
2020-10-07,21.7,,,,,,,,,,,,,
2020-10-08,22.73,,,,,,,,,,,,,
2020-10-09,22.96,,,,,,,,,,,,,
2020-10-12,23.14,,,,,,,,,,,,,
2020-10-13,23.58,,,,,,,,,,,,,
2020-10-14,22.76,,,,,,,,,,,,,
2020-10-15,22.35,,,,,,,,,,,,,
2020-10-16,21.91,,,,,,,,,,,,,
2020-10-19,20.74,,,,,,,,,,,,,
2020-10-20,20.56,,,,,,,,,,,,,
2020-10-21,20.01,,,,,,,,,,,,,
2020-10-22,20.25,,,,,,,,,,,,,
2020-10-23,20.57,,,,,,,,,,,,,
2020-10-26,19.88,,,,,,,,,,,,,
2020-10-27,20.11,,,,,,,,,,,,,
2020-10-28,18.65,,,,,,,,,,,,,
2020-10-29,18.9,,,,,,,,,,,,,
2020-10-30,18.23,,,,,,,,,,,,,
2020-11-02,18.93,,,,,,,,,,,,,
2020-11-03,19.38,,,,,,,,,,,,,
2020-11-04,20.62,,,,,,,,,,,,,
2020-11-05,20.95,,,,,,,,,,,,,
2020-11-06,21.31,,,,,,,,,,,,,
2020-11-09,21.45,,,,,,,,,,,,,
2020-11-10,21.6,,,,,,,,,,,,,
2020-11-11,21.06,,,,,,,,,,,,,
2020-11-12,21.79,,,,,,,,,,,,,
2020-11-13,21.85,,,,,,,,,,,,,
2020-11-16,22.65,,,,,,,,,,,,,
2020-11-17,22.2,,,,,,,,,,,,,
2020-11-18,21.16,,,,,,,,,,,,,
2020-11-19,21.26,,,,,,,,,,,,,
2020-11-20,20.96,,,,,,,,,,,,,
2020-11-23,20.3,,,,,,,,,,,,,
2020-11-24,20.83,,,,,,,,,,,,,
2020-11-25,20.42,,,,,,,,,,,,,
2020-11-27,20.25,,,,,,,,,,,,,
2020-11-30,20.72,,,,,,,,,,,,,
2020-12-01,20.19,,,,,,,,,,,,,
2020-12-02,20.1,,,,,,,,,,,,,
2020-12-03,20.31,,,,,,,,,,,,,
2020-12-04,19.63,,,,,,,,,,,,,
2020-12-07,19.7,,,,,,,,,,,,,
2020-12-08,20.21,,,,,,,,,,,,,
2020-12-09,21.06,,,,,,,,,,,,,
2020-12-10,20.8,,,,,,,,,,,,,
2020-12-11,20.86,,,,,,,,,,,,,
2020-12-14,21.94,,,,,,,,,,,,,
2020-12-15,22.36,,,,,,,,,,,,,
2020-12-16,22.39,,,,,,,,,,,,,
2020-12-17,22.4,,,,,,,,,,,,,
2020-12-18,21.64,,,,,,,,,,,,,
2020-12-21,21.6,,,,,,,,,,,,,
2020-12-22,21.7,,,,,,,,,,,,,
2020-12-23,21.65,,,,,,,,,,,,,
2020-12-24,20.83,,,,,,,,,,,,,
2020-12-28,20.5,,,,,,,,,,,,,
2020-12-29,20.75,,,,,,,,,,,,,
2020-12-30,21.16,,,,,,,,,,,,,
2020-12-31,20.22,,,,,,,,,,,,,
2021-01-04,20.0,,,,,,,,,,,,,
2021-01-05,19.89,,,,,,,,,,,,,
2021-01-06,19.35,,,,,,,,,,,,,
2021-01-07,19.72,,,,,,,,,,,,,
2021-01-08,19.95,,,,,,,,,,,,,
2021-01-11,19.84,,,,,,,,,,,,,
2021-01-12,19.63,,,,,,,,,,,,,
2021-01-13,19.93,,,,,,,,,,,,,
2021-01-14,20.16,,,,,,,,,,,,,
2021-01-15,19.6,,,,,,,,,,,,,
2021-01-19,19.54,,,,,,,,,,,,,
2021-01-20,19.87,,,,,,,,,,,,,
2021-01-21,19.97,,,,,,,,,,,,,
2021-01-22,20.05,,,,,,,,,,,,,
