date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2019-05-23,11.19,,,,,,,,,,,,,
2019-05-24,11.25,,,,,,,,,,,,,
2019-05-28,11.39,,,,,,,,,,,,,
2019-05-29,11.95,,,,,,,,,,,,,
2019-05-30,11.54,,,,,,,,,,,,,
2019-05-31,11.87,,,,,,,,,,,,,
2019-06-03,11.6,,,,,,,,,,,,,
2019-06-04,11.86,,,,,,,,,,,,,
2019-06-05,11.7,,,,,,,,,,,,,
2019-06-06,11.48,,,,,,,,,,,,,
2019-06-07,10.52,,,,,,,,,,,,,
2019-06-10,10.76,,,,,,,,,,,,,
2019-06-11,11.12,,,,,,,,,,,,,
2019-06-12,10.79,,,,,,,,,,,,,
2019-06-13,10.65,,,,,,,,,,,,,
2019-06-14,10.82,,,,,,,,,,,,,
2019-06-17,10.92,,,,,,,,,,,,,
2019-06-18,10.9,,,,,,,,,,,,,
2019-06-19,10.74,,,,,,,,,,,,,
2019-06-20,10.47,,,,,,,,,,,,,
2019-06-21,9.58,,,,,,,,,,,,,
2019-06-24,9.97,,,,,,,,,,,,,
2019-06-25,9.87,,,,,,,,,,,,,
2019-06-26,9.81,,,,,,,,,,,,,
2019-06-27,10.06,,,,,,,,,,,,,
2019-06-28,9.96,,,,,,,,,,,,,
2019-07-01,9.6,,,,,,,,,,,,,
2019-07-02,9.1,,,,,,,,,,,,,
2019-07-03,8.62,,,,,,,,,,,,,
2019-07-05,8.01,,,,,,,,,,,,,
2019-07-08,8.15,,,,,,,,,,,,,
2019-07-09,7.88,,,,,,,,,,,,,
2019-07-10,7.77,,,,,,,,,,,,,
2019-07-11,8.04,,,,,,,,,,,,,
2019-07-12,8.6,,,,,,,,,,,,,
2019-07-15,8.29,,,,,,,,,,,,,
2019-07-16,8.02,,,,,,,,,,,,,
2019-07-17,7.97,,,,,,,,,,,,,
2019-07-18,7.83,,,,,,,,,,,,,
2019-07-19,7.83,,,,,,,,,,,,,
2019-07-22,7.21,,,,,,,,,,,,,
2019-07-23,6.82,,,,,,,,,,,,,
2019-07-24,6.8,,,,,,,,,,,,,
2019-07-25,6.72,,,,,,,,,,,,,
2019-07-26,6.77,,,,,,,,,,,,,
2019-07-29,7.12,,,,,,,,,,,,,
2019-07-30,6.9,,,,,,,,,,,,,
2019-07-31,7.11,,,,,,,,,,,,,
2019-08-01,7.07,,,,,,,,,,,,,
2019-08-02,6.81,,,,,,,,,,,,,
2019-08-05,6.7,,,,,,,,,,,,,
2019-08-06,6.85,,,,,,,,,,,,,
2019-08-07,6.74,,,,,,,,,,,,,
2019-08-08,6.77,,,,,,,,,,,,,
2019-08-09,6.78,,,,,,,,,,,,,
2019-08-12,6.95,,,,,,,,,,,,,
2019-08-13,7.19,,,,,,,,,,,,,
2019-08-14,7.02,,,,,,,,,,,,,
2019-08-15,7.0,,,,,,,,,,,,,
2019-08-16,6.68,,,,,,,,,,,,,
2019-08-19,6.64,,,,,,,,,,,,,
2019-08-20,6.62,,,,,,,,,,,,,
2019-08-21,6.53,,,,,,,,,,,,,
2019-08-22,6.31,,,,,,,,,,,,,
2019-08-23,6.36,,,,,,,,,,,,,
2019-08-26,6.2,,,,,,,,,,,,,
2019-08-27,6.25,,,,,,,,,,,,,
2019-08-28,6.06,,,,,,,,,,,,,
2019-08-29,6.69,,,,,,,,,,,,,
2019-08-30,6.8,,,,,,,,,,,,,
2019-09-03,6.47,,,,,,,,,,,,,
2019-09-04,6.75,,,,,,,,,,,,,
2019-09-05,6.92,,,,,,,,,,,,,
2019-09-06,6.91,,,,,,,,,,,,,
2019-09-09,7.1,,,,,,,,,,,,,
2019-09-10,7.8,,,,,,,,,,,,,
2019-09-11,8.11,,,,,,,,,,,,,
2019-09-12,7.97,,,,,,,,,,,,,
2019-09-13,7.79,,,,,,,,,,,,,
2019-09-16,9.79,,,,,,,,,,,,,
2019-09-17,9.55,,,,,,,,,,,,,
2019-09-18,10.91,,,,,,,,,,,,,
2019-09-19,10.14,,,,,,,,,,,,,
2019-09-20,9.02,,,,,,,,,,,,,
2019-09-23,9.12,,,,,,,,,,,,,
2019-09-24,9.15,,,,,,,,,,,,,
2019-09-25,8.81,,,,,,,,,,,,,
2019-09-26,9.7,,,,,,,,,,,,,
2019-09-27,9.17,,,,,,,,,,,,,
2019-09-30,9.0,,,,,,,,,,,,,
2019-10-01,9.08,,,,,,,,,,,,,
2019-10-02,7.85,,,,,,,,,,,,,
2019-10-03,7.7,,,,,,,,,,,,,
2019-10-04,7.81,,,,,,,,,,,,,
2019-10-07,7.51,,,,,,,,,,,,,
2019-10-08,7.43,,,,,,,,,,,,,
2019-10-09,7.01,,,,,,,,,,,,,
2019-10-10,6.91,,,,,,,,,,,,,
2019-10-11,7.39,,,,,,,,,,,,,
2019-10-14,7.15,,,,,,,,,,,,,
2019-10-15,6.5,,,,,,,,,,,,,
2019-10-16,6.4,,,,,,,,,,,,,
2019-10-17,5.91,,,,,,,,,,,,,
2019-10-18,5.34,,,,,,,,,,,,,
2019-10-21,5.9,,,,,,,,,,,,,
2019-10-22,5.7,,,,,,,,,,,,,
2019-10-23,5.68,,,,,,,,,,,,,
2019-10-24,5.66,,,,,,,,,,,,,
2019-10-25,5.57,,,,,,,,,,,,,
2019-10-28,5.67,,,,,,,,,,,,,
2019-10-29,5.93,,,,,,,,,,,,,
2019-10-30,5.975,,,,,,,,,,,,,
2019-10-31,5.67,,,,,,,,,,,,,
2019-11-01,6.12,,,,,,,,,,,,,
2019-11-04,5.92,,,,,,,,,,,,,
2019-11-05,5.93,,,,,,,,,,,,,
2019-11-06,5.81,,,,,,,,,,,,,
2019-11-07,5.74,,,,,,,,,,,,,
2019-11-08,5.79,,,,,,,,,,,,,
2019-11-11,5.74,,,,,,,,,,,,,
2019-11-12,5.765,,,,,,,,,,,,,
