date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2008-08-13,16.6,,,,,,,,,,,,,
2008-08-14,16.45,,,,,,,,,,,,,
2008-08-15,16.35,,,,,,,,,,,,,
2008-08-18,16.25,,,,,,,,,,,,,
2008-08-19,16.25,,,,,,,,,,,,,
2008-08-20,16.2,,,,,,,,,,,,,
2008-08-21,16.0,,,,,,,,,,,,,
2008-08-22,16.0,,,,,,,,,,,,,
2008-08-25,16.0,,,,,,,,,,,,,
2008-08-26,16.0,,,,,,,,,,,,,
2008-08-27,16.0,,,,,,,,,,,,,
2008-08-28,15.75,,,,,,,,,,,,,
2008-08-29,15.9,,,,,,,,,,,,,
2008-09-02,16.23,,,,,,,,,,,,,
2008-09-03,16.0,,,,,,,,,,,,,
2008-09-04,16.0,,,,,,,,,,,,,
2008-09-05,16.0,,,,,,,,,,,,,
2008-09-08,16.0,,,,,,,,,,,,,
2008-09-09,15.72,,,,,,,,,,,,,
2008-09-10,14.5,,,,,,,,,,,,,
2008-09-11,14.5,,,,,,,,,,,,,
2008-09-12,14.5,,,,,,,,,,,,,
2008-09-15,14.73,,,,,,,,,,,,,
2008-09-16,14.45,,,,,,,,,,,,,
2008-09-17,13.9,,,,,,,,,,,,,
2008-09-18,13.9,,,,,,,,,,,,,
2008-09-19,13.62,,,,,,,,,,,,,
2008-09-22,13.75,,,,,,,,,,,,,
2008-09-23,13.07,,,,,,,,,,,,,
2008-09-24,12.79,,,,,,,,,,,,,
2008-09-25,12.9,,,,,,,,,,,,,
2008-09-26,12.8,,,,,,,,,,,,,
2008-09-29,12.55,,,,,,,,,,,,,
2008-09-30,12.66,,,,,,,,,,,,,
2008-10-01,12.8,,,,,,,,,,,,,
2008-10-02,11.78,,,,,,,,,,,,,
2008-10-03,11.8,,,,,,,,,,,,,
2008-10-06,11.94,,,,,,,,,,,,,
2008-10-07,11.49,,,,,,,,,,,,,
2008-10-08,11.24,,,,,,,,,,,,,
2008-10-09,10.94,,,,,,,,,,,,,
2008-10-10,10.14,,,,,,,,,,,,,
2008-10-13,9.98,,,,,,,,,,,,,
2008-10-14,9.7,,,,,,,,,,,,,
2008-10-15,9.99,,,,,,,,,,,,,
2008-10-16,9.99,,,,,,,,,,,,,
2008-10-17,9.92,,,,,,,,,,,,,
2008-10-20,9.9999,,,,,,,,,,,,,
2008-10-21,10.87,,,,,,,,,,,,,
2008-10-22,10.01,,,,,,,,,,,,,
2008-10-23,10.0,,,,,,,,,,,,,
2008-10-24,10.0,,,,,,,,,,,,,
2008-10-27,9.82,,,,,,,,,,,,,
2008-10-28,9.6,,,,,,,,,,,,,
2008-10-29,9.2,,,,,,,,,,,,,
2008-10-30,9.51,,,,,,,,,,,,,
2008-10-31,9.46,,,,,,,,,,,,,
2008-11-03,9.44,,,,,,,,,,,,,
2008-11-04,9.44,,,,,,,,,,,,,
2008-11-05,9.0,,,,,,,,,,,,,
2008-11-06,9.0,,,,,,,,,,,,,
2008-11-07,8.38,,,,,,,,,,,,,
2008-11-10,8.51,,,,,,,,,,,,,
2008-11-11,7.98,,,,,,,,,,,,,
2008-11-12,7.04,,,,,,,,,,,,,
2008-11-13,5.9,,,,,,,,,,,,,
2008-11-14,6.9,,,,,,,,,,,,,
2008-11-17,6.9,,,,,,,,,,,,,
2008-11-18,7.0,,,,,,,,,,,,,
2008-11-19,7.28,,,,,,,,,,,,,
2008-11-20,7.0,,,,,,,,,,,,,
2008-11-21,6.75,,,,,,,,,,,,,
2008-11-24,7.31,,,,,,,,,,,,,
2008-11-25,7.61,,,,,,,,,,,,,
2008-11-26,8.81,,,,,,,,,,,,,
2008-11-28,10.12,,,,,,,,,,,,,
2008-12-01,9.34,,,,,,,,,,,,,
2008-12-02,9.39,,,,,,,,,,,,,
2008-12-03,9.37,,,,,,,,,,,,,
2008-12-04,8.2,,,,,,,,,,,,,
2008-12-05,8.02,,,,,,,,,,,,,
2008-12-08,9.0,,,,,,,,,,,,,
2008-12-09,9.7,,,,,,,,,,,,,
2008-12-10,9.75,,,,,,,,,,,,,
2008-12-11,10.12,,,,,,,,,,,,,
2008-12-12,9.63,,,,,,,,,,,,,
2008-12-15,9.99,,,,,,,,,,,,,
2008-12-16,9.9,,,,,,,,,,,,,
2008-12-17,9.97,,,,,,,,,,,,,
2008-12-18,10.0,,,,,,,,,,,,,
2008-12-19,10.04,,,,,,,,,,,,,
2008-12-22,9.86,,,,,,,,,,,,,
2008-12-23,9.89,,,,,,,,,,,,,
2008-12-24,9.89,,,,,,,,,,,,,
2008-12-26,9.9,,,,,,,,,,,,,
2008-12-29,10.0,,,,,,,,,,,,,
2008-12-30,10.0,,,,,,,,,,,,,
2008-12-31,10.0,,,,,,,,,,,,,
2009-01-02,10.0,,,,,,,,,,,,,
2009-01-05,10.024,,,,,,,,,,,,,
2009-01-06,11.39,,,,,,,,,,,,,
2009-01-07,11.38,,,,,,,,,,,,,
2009-01-08,13.0,,,,,,,,,,,,,
2009-01-09,13.0,,,,,,,,,,,,,
2009-01-12,12.81,,,,,,,,,,,,,
2009-01-13,12.7,,,,,,,,,,,,,
2009-01-14,12.62,,,,,,,,,,,,,
2009-01-15,12.94,,,,,,,,,,,,,
2009-01-16,13.7499,,,,,,,,,,,,,
2009-01-20,13.56,,,,,,,,,,,,,
2009-01-21,14.07,,,,,,,,,,,,,
2009-01-22,13.5,,,,,,,,,,,,,
2009-01-23,13.35,,,,,,,,,,,,,
2009-01-26,14.48,,,,,,,,,,,,,
2009-01-27,14.81,,,,,,,,,,,,,
2009-01-28,14.9,,,,,,,,,,,,,
2009-01-29,13.75,,,,,,,,,,,,,
