date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2016-11-10,30.33,,,,,,,,,,,,,
2016-11-11,29.89,,,,,,,,,,,,,
2016-11-14,30.19,,,,,,,,,,,,,
2016-11-15,30.43,,,,,,,,,,,,,
2016-11-16,31.7,,,,,,,,,,,,,
2016-11-17,32.51,,,,,,,,,,,,,
2016-11-18,32.68,,,,,,,,,,,,,
2016-11-21,31.74,,,,,,,,,,,,,
2016-11-22,32.7,,,,,,,,,,,,,
2016-11-23,33.02,,,,,,,,,,,,,
2016-11-25,32.59,,,,,,,,,,,,,
2016-11-28,32.74,,,,,,,,,,,,,
2016-11-29,33.19,,,,,,,,,,,,,
2016-11-30,33.48,,,,,,,,,,,,,
2016-12-01,32.51,,,,,,,,,,,,,
2016-12-02,32.99,,,,,,,,,,,,,
2016-12-05,33.65,,,,,,,,,,,,,
2016-12-06,33.82,,,,,,,,,,,,,
2016-12-07,34.75,,,,,,,,,,,,,
2016-12-08,35.93,,,,,,,,,,,,,
2016-12-09,36.38,,,,,,,,,,,,,
2016-12-12,36.73,,,,,,,,,,,,,
2016-12-13,36.58,,,,,,,,,,,,,
2016-12-14,35.15,,,,,,,,,,,,,
2016-12-15,34.38,,,,,,,,,,,,,
2016-12-16,35.26,,,,,,,,,,,,,
2016-12-19,34.48,,,,,,,,,,,,,
2016-12-20,34.95,,,,,,,,,,,,,
2016-12-21,35.02,,,,,,,,,,,,,
2016-12-22,36.33,,,,,,,,,,,,,
2016-12-23,36.85,,,,,,,,,,,,,
2016-12-27,37.34,,,,,,,,,,,,,
2016-12-28,37.23,,,,,,,,,,,,,
2016-12-29,37.77,,,,,,,,,,,,,
2016-12-30,37.85,,,,,,,,,,,,,
2017-01-03,37.49,,,,,,,,,,,,,
2017-01-04,36.98,,,,,,,,,,,,,
2017-01-05,36.62,,,,,,,,,,,,,
2017-01-06,36.83,,,,,,,,,,,,,
2017-01-09,36.89,,,,,,,,,,,,,
2017-01-10,36.84,,,,,,,,,,,,,
2017-01-11,36.89,,,,,,,,,,,,,
2017-01-12,36.96,,,,,,,,,,,,,
2017-01-13,37.22,,,,,,,,,,,,,
2017-01-17,36.89,,,,,,,,,,,,,
2017-01-18,36.64,,,,,,,,,,,,,
2017-01-19,36.96,,,,,,,,,,,,,
2017-01-20,37.11,,,,,,,,,,,,,
2017-01-23,36.77,,,,,,,,,,,,,
2017-01-24,37.49,,,,,,,,,,,,,
2017-01-25,36.67,,,,,,,,,,,,,
2017-01-26,36.33,,,,,,,,,,,,,
2017-01-27,36.44,,,,,,,,,,,,,
2017-01-30,36.78,,,,,,,,,,,,,
2017-01-31,37.36,,,,,,,,,,,,,
2017-02-01,37.77,,,,,,,,,,,,,
2017-02-02,38.42,,,,,,,,,,,,,
2017-02-03,38.9,,,,,,,,,,,,,
2017-02-06,39.24,,,,,,,,,,,,,
2017-02-07,39.41,,,,,,,,,,,,,
2017-02-08,39.16,,,,,,,,,,,,,
2017-02-09,39.08,,,,,,,,,,,,,
2017-02-10,39.27,,,,,,,,,,,,,
2017-02-13,39.43,,,,,,,,,,,,,
