date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2001-01-08,237.6,,,,,,,,,,,,,
2001-01-09,237.6,,,,,,,,,,,,,
2001-01-10,237.6,,,,,,,,,,,,,
2001-01-11,237.6,,,,,,,,,,,,,
2001-01-12,259.2,,,,,,,,,,,,,
2001-01-16,237.6,,,,,,,,,,,,,
2001-01-17,237.6,,,,,,,,,,,,,
2001-01-18,226.8,,,,,,,,,,,,,
2001-01-19,226.8,,,,,,,,,,,,,
2001-01-22,226.8,,,,,,,,,,,,,
2001-01-23,252.0,,,,,,,,,,,,,
2001-01-24,226.8,,,,,,,,,,,,,
2001-01-25,212.4,,,,,,,,,,,,,
2001-01-26,212.4,,,,,,,,,,,,,
2001-01-29,212.4,,,,,,,,,,,,,
2001-01-30,212.4,,,,,,,,,,,,,
2001-01-31,212.4,,,,,,,,,,,,,
2001-02-01,248.4,,,,,,,,,,,,,
2001-02-02,248.4,,,,,,,,,,,,,
2001-02-05,248.4,,,,,,,,,,,,,
2001-02-06,208.8,,,,,,,,,,,,,
2001-02-07,208.8,,,,,,,,,,,,,
2001-02-08,208.8,,,,,,,,,,,,,
2001-02-09,208.8,,,,,,,,,,,,,
2001-02-12,190.8,,,,,,,,,,,,,
2001-02-13,198.0,,,,,,,,,,,,,
2001-02-14,187.2,,,,,,,,,,,,,
2001-02-15,198.0,,,,,,,,,,,,,
2001-02-16,198.0,,,,,,,,,,,,,
2001-02-20,198.0,,,,,,,,,,,,,
2001-02-21,180.0,,,,,,,,,,,,,
2001-02-22,198.0,,,,,,,,,,,,,
2001-02-23,180.0,,,,,,,,,,,,,
2001-02-26,180.0,,,,,,,,,,,,,
2001-02-27,180.0,,,,,,,,,,,,,
2001-02-28,169.2,,,,,,,,,,,,,
2001-03-01,169.2,,,,,,,,,,,,,
2001-03-02,169.2,,,,,,,,,,,,,
2001-03-05,180.0,,,,,,,,,,,,,
2001-03-06,172.8,,,,,,,,,,,,,
2001-03-07,172.8,,,,,,,,,,,,,
2001-03-08,172.8,,,,,,,,,,,,,
2001-03-09,172.8,,,,,,,,,,,,,
2001-03-12,162.0,,,,,,,,,,,,,
2001-03-13,180.0,,,,,,,,,,,,,
2001-03-14,180.0,,,,,,,,,,,,,
2001-03-15,180.0,,,,,,,,,,,,,
2001-03-16,169.2,,,,,,,,,,,,,
2001-03-19,162.0,,,,,,,,,,,,,
2001-03-20,162.0,,,,,,,,,,,,,
2001-03-21,162.0,,,,,,,,,,,,,
2001-03-22,147.6,,,,,,,,,,,,,
2001-03-23,136.8,,,,,,,,,,,,,
2001-03-26,136.8,,,,,,,,,,,,,
2001-03-27,158.4,,,,,,,,,,,,,
2001-03-28,158.4,,,,,,,,,,,,,
2001-03-29,147.6,,,,,,,,,,,,,
2001-03-30,140.4,,,,,,,,,,,,,
2001-04-02,140.4,,,,,,,,,,,,,
2001-04-03,147.6,,,,,,,,,,,,,
2001-04-04,151.2,,,,,,,,,,,,,
2001-04-05,147.6,,,,,,,,,,,,,
2001-04-06,158.4,,,,,,,,,,,,,
2001-04-09,162.0,,,,,,,,,,,,,
2001-04-10,169.2,,,,,,,,,,,,,
2001-04-11,172.8,,,,,,,,,,,,,
2001-04-12,172.8,,,,,,,,,,,,,
2001-04-16,183.6,,,,,,,,,,,,,
2001-04-17,280.8,,,,,,,,,,,,,
2001-04-18,306.0,,,,,,,,,,,,,
2001-04-19,291.6,,,,,,,,,,,,,
2001-04-20,295.2,,,,,,,,,,,,,
2001-04-23,320.4,,,,,,,,,,,,,
2001-04-24,327.6,,,,,,,,,,,,,
2001-04-25,327.6,,,,,,,,,,,,,
2001-04-26,349.2,,,,,,,,,,,,,
2001-04-27,316.8,,,,,,,,,,,,,
2001-04-30,352.8,,,,,,,,,,,,,
2001-05-01,367.2,,,,,,,,,,,,,
2001-05-02,360.0,,,,,,,,,,,,,
2001-05-03,360.0,,,,,,,,,,,,,
2001-05-04,360.0,,,,,,,,,,,,,
2001-05-07,370.8,,,,,,,,,,,,,
2001-05-08,370.8,,,,,,,,,,,,,
2001-05-09,363.6,,,,,,,,,,,,,
2001-05-10,360.0,,,,,,,,,,,,,
2001-05-11,363.6,,,,,,,,,,,,,
2001-05-14,360.0,,,,,,,,,,,,,
2001-05-15,356.4,,,,,,,,,,,,,
2001-05-16,352.8,,,,,,,,,,,,,
2001-05-17,367.2,,,,,,,,,,,,,
2001-05-18,363.6,,,,,,,,,,,,,
2001-05-21,352.8,,,,,,,,,,,,,
2001-05-22,324.0,,,,,,,,,,,,,
2001-05-23,316.8,,,,,,,,,,,,,
2001-05-24,324.0,,,,,,,,,,,,,
2001-05-25,291.6,,,,,,,,,,,,,
2001-05-29,295.2,,,,,,,,,,,,,
2001-05-30,295.2,,,,,,,,,,,,,
2001-05-31,291.6,,,,,,,,,,,,,
2001-06-01,324.0,,,,,,,,,,,,,
2001-06-04,324.0,,,,,,,,,,,,,
2001-06-05,324.0,,,,,,,,,,,,,
2001-06-06,374.4,,,,,,,,,,,,,
2001-06-07,374.4,,,,,,,,,,,,,
2001-06-08,378.0,,,,,,,,,,,,,
2001-06-11,363.6,,,,,,,,,,,,,
2001-06-12,331.2,,,,,,,,,,,,,
2001-06-13,349.2,,,,,,,,,,,,,
2001-06-14,331.2,,,,,,,,,,,,,
2001-06-15,349.2,,,,,,,,,,,,,
2001-06-18,345.6,,,,,,,,,,,,,
2001-06-19,306.0,,,,,,,,,,,,,
2001-06-20,320.4,,,,,,,,,,,,,
2001-06-21,320.4,,,,,,,,,,,,,
2001-06-22,298.8,,,,,,,,,,,,,
2001-06-25,298.8,,,,,,,,,,,,,
2001-06-26,288.0,,,,,,,,,,,,,
2001-06-27,288.0,,,,,,,,,,,,,
2001-06-28,306.0,,,,,,,,,,,,,
2001-06-29,316.8,,,,,,,,,,,,,
2001-07-02,295.2,,,,,,,,,,,,,
2001-07-03,316.8,,,,,,,,,,,,,
2001-07-05,302.4,,,,,,,,,,,,,
2001-07-06,306.0,,,,,,,,,,,,,
2001-07-09,313.2,,,,,,,,,,,,,
2001-07-10,313.2,,,,,,,,,,,,,
2001-07-11,277.2,,,,,,,,,,,,,
2001-07-12,266.4,,,,,,,,,,,,,
2001-07-13,237.6,,,,,,,,,,,,,
2001-07-16,208.8,,,,,,,,,,,,,
2001-07-17,208.8,,,,,,,,,,,,,
2001-07-18,270.0,,,,,,,,,,,,,
2001-07-19,280.8,,,,,,,,,,,,,
2001-07-20,288.0,,,,,,,,,,,,,
2001-07-23,295.2,,,,,,,,,,,,,
2001-07-24,298.8,,,,,,,,,,,,,
2001-07-25,270.0,,,,,,,,,,,,,
2001-07-26,270.0,,,,,,,,,,,,,
2001-07-27,266.4,,,,,,,,,,,,,
2001-07-30,273.6,,,,,,,,,,,,,
2001-07-31,262.8,,,,,,,,,,,,,
2001-08-01,234.0,,,,,,,,,,,,,
2001-08-02,234.0,,,,,,,,,,,,,
2001-08-03,234.0,,,,,,,,,,,,,
2001-08-06,234.0,,,,,,,,,,,,,
2001-08-07,259.2,,,,,,,,,,,,,
2001-08-08,244.8,,,,,,,,,,,,,
2001-08-09,259.2,,,,,,,,,,,,,
2001-08-10,252.0,,,,,,,,,,,,,
2001-08-13,262.8,,,,,,,,,,,,,
2001-08-14,259.2,,,,,,,,,,,,,
2001-08-15,273.6,,,,,,,,,,,,,
2001-08-16,295.2,,,,,,,,,,,,,
2001-08-17,342.0,,,,,,,,,,,,,
2001-08-20,342.0,,,,,,,,,,,,,
2001-08-21,306.0,,,,,,,,,,,,,
2001-08-22,291.6,,,,,,,,,,,,,
2001-08-23,244.8,,,,,,,,,,,,,
2001-08-24,280.8,,,,,,,,,,,,,
2001-08-27,248.4,,,,,,,,,,,,,
2001-08-28,248.4,,,,,,,,,,,,,
2001-08-29,248.4,,,,,,,,,,,,,
2001-08-30,241.2,,,,,,,,,,,,,
2001-08-31,248.4,,,,,,,,,,,,,
2001-09-04,241.2,,,,,,,,,,,,,
2001-09-05,230.4,,,,,,,,,,,,,
2001-09-06,234.0,,,,,,,,,,,,,
2001-09-07,248.4,,,,,,,,,,,,,
2001-09-10,244.8,,,,,,,,,,,,,
2001-09-17,216.0,,,,,,,,,,,,,
2001-09-18,216.0,,,,,,,,,,,,,
2001-09-19,234.0,,,,,,,,,,,,,
2001-09-20,230.4,,,,,,,,,,,,,
2001-09-21,205.2,,,,,,,,,,,,,
2001-09-24,205.2,,,,,,,,,,,,,
2001-09-25,216.0,,,,,,,,,,,,,
2001-09-26,216.0,,,,,,,,,,,,,
2001-09-27,216.0,,,,,,,,,,,,,
2001-09-28,205.2,,,,,,,,,,,,,
2001-10-01,205.2,,,,,,,,,,,,,
2001-10-02,205.2,,,,,,,,,,,,,
2001-10-03,198.0,,,,,,,,,,,,,
2001-10-04,187.2,,,,,,,,,,,,,
2001-10-05,187.2,,,,,,,,,,,,,
2001-10-08,187.2,,,,,,,,,,,,,
2001-10-09,187.2,,,,,,,,,,,,,
2001-10-10,187.2,,,,,,,,,,,,,
2001-10-11,187.2,,,,,,,,,,,,,
2001-10-12,183.6,,,,,,,,,,,,,
2001-10-15,187.2,,,,,,,,,,,,,
2001-10-16,183.6,,,,,,,,,,,,,
2001-10-17,187.2,,,,,,,,,,,,,
2001-10-18,216.0,,,,,,,,,,,,,
2001-10-19,194.4,,,,,,,,,,,,,
2001-10-22,216.0,,,,,,,,,,,,,
2001-10-23,216.0,,,,,,,,,,,,,
2001-10-24,212.4,,,,,,,,,,,,,
2001-10-25,216.0,,,,,,,,,,,,,
2001-10-26,223.2,,,,,,,,,,,,,
2001-10-29,212.4,,,,,,,,,,,,,
2001-10-30,212.4,,,,,,,,,,,,,
2001-10-31,212.4,,,,,,,,,,,,,
2001-11-01,205.2,,,,,,,,,,,,,
2001-11-02,198.0,,,,,,,,,,,,,
2001-11-05,198.0,,,,,,,,,,,,,
2001-11-06,216.0,,,,,,,,,,,,,
2001-11-07,324.0,,,,,,,,,,,,,
2001-11-08,324.0,,,,,,,,,,,,,
2001-11-09,324.0,,,,,,,,,,,,,
2001-11-12,324.0,,,,,,,,,,,,,
2001-11-13,288.0,,,,,,,,,,,,,
2001-11-14,288.0,,,,,,,,,,,,,
2001-11-15,277.2,,,,,,,,,,,,,
2001-11-16,270.0,,,,,,,,,,,,,
2001-11-19,270.0,,,,,,,,,,,,,
2001-11-20,270.0,,,,,,,,,,,,,
2001-11-21,270.0,,,,,,,,,,,,,
2001-11-23,270.0,,,,,,,,,,,,,
2001-11-26,270.0,,,,,,,,,,,,,
2001-11-27,295.2,,,,,,,,,,,,,
2001-11-28,273.6,,,,,,,,,,,,,
2001-11-29,273.6,,,,,,,,,,,,,
2001-11-30,306.0,,,,,,,,,,,,,
2001-12-03,288.0,,,,,,,,,,,,,
2001-12-04,288.0,,,,,,,,,,,,,
2001-12-05,288.0,,,,,,,,,,,,,
2001-12-06,280.8,,,,,,,,,,,,,
2001-12-07,288.0,,,,,,,,,,,,,
2001-12-10,298.8,,,,,,,,,,,,,
2001-12-11,298.8,,,,,,,,,,,,,
2001-12-12,295.2,,,,,,,,,,,,,
2001-12-13,291.6,,,,,,,,,,,,,
2001-12-14,324.0,,,,,,,,,,,,,
2001-12-17,313.2,,,,,,,,,,,,,
2001-12-18,316.8,,,,,,,,,,,,,
2001-12-19,313.2,,,,,,,,,,,,,
2001-12-20,302.4,,,,,,,,,,,,,
2001-12-21,295.2,,,,,,,,,,,,,
2001-12-24,302.4,,,,,,,,,,,,,
2001-12-26,298.8,,,,,,,,,,,,,
2001-12-27,280.8,,,,,,,,,,,,,
2001-12-28,270.0,,,,,,,,,,,,,
2001-12-31,306.0,,,,,,,,,,,,,
2002-01-02,270.0,,,,,,,,,,,,,
2002-01-03,262.8,,,,,,,,,,,,,
2002-01-04,270.0,,,,,,,,,,,,,
2002-01-07,259.2,,,,,,,,,,,,,
2002-01-08,259.2,,,,,,,,,,,,,
2002-01-09,259.2,,,,,,,,,,,,,
2002-01-10,252.0,,,,,,,,,,,,,
2002-01-11,248.4,,,,,,,,,,,,,
2002-01-14,259.2,,,,,,,,,,,,,
2002-01-15,259.2,,,,,,,,,,,,,
2002-01-16,234.0,,,,,,,,,,,,,
2002-01-17,252.0,,,,,,,,,,,,,
2002-01-18,230.4,,,,,,,,,,,,,
2002-01-22,234.0,,,,,,,,,,,,,
2002-01-23,234.0,,,,,,,,,,,,,
2002-01-24,223.2,,,,,,,,,,,,,
2002-01-25,234.0,,,,,,,,,,,,,
2002-01-28,237.6,,,,,,,,,,,,,
2002-01-29,230.4,,,,,,,,,,,,,
2002-01-30,223.2,,,,,,,,,,,,,
2002-01-31,212.4,,,,,,,,,,,,,
2002-02-01,226.8,,,,,,,,,,,,,
2002-02-04,212.4,,,,,,,,,,,,,
2002-02-05,212.4,,,,,,,,,,,,,
2002-02-06,216.0,,,,,,,,,,,,,
2002-02-07,201.6,,,,,,,,,,,,,
2002-02-08,198.0,,,,,,,,,,,,,
2002-02-11,198.0,,,,,,,,,,,,,
2002-02-12,198.0,,,,,,,,,,,,,
2002-02-13,198.0,,,,,,,,,,,,,
2002-02-14,194.4,,,,,,,,,,,,,
2002-02-15,205.2,,,,,,,,,,,,,
2002-02-19,205.2,,,,,,,,,,,,,
2002-02-20,205.2,,,,,,,,,,,,,
2002-02-21,201.6,,,,,,,,,,,,,
2002-02-22,201.6,,,,,,,,,,,,,
2002-02-25,190.8,,,,,,,,,,,,,
2002-02-26,198.0,,,,,,,,,,,,,
2002-02-27,205.2,,,,,,,,,,,,,
2002-02-28,201.6,,,,,,,,,,,,,
2002-03-01,216.0,,,,,,,,,,,,,
2002-03-04,208.8,,,,,,,,,,,,,
2002-03-05,201.6,,,,,,,,,,,,,
2002-03-06,212.4,,,,,,,,,,,,,
2002-03-07,198.0,,,,,,,,,,,,,
2002-03-08,194.4,,,,,,,,,,,,,
2002-03-11,201.6,,,,,,,,,,,,,
2002-03-12,198.0,,,,,,,,,,,,,
2002-03-13,198.0,,,,,,,,,,,,,
2002-03-14,198.0,,,,,,,,,,,,,
2002-03-15,190.8,,,,,,,,,,,,,
2002-03-18,187.2,,,,,,,,,,,,,
2002-03-19,187.2,,,,,,,,,,,,,
2002-03-20,190.8,,,,,,,,,,,,,
2002-03-21,187.2,,,,,,,,,,,,,
2002-03-22,190.8,,,,,,,,,,,,,
2002-03-25,187.2,,,,,,,,,,,,,
2002-03-26,198.0,,,,,,,,,,,,,
2002-03-27,183.6,,,,,,,,,,,,,
2002-03-28,187.2,,,,,,,,,,,,,
2002-04-01,183.6,,,,,,,,,,,,,
2002-04-02,183.6,,,,,,,,,,,,,
2002-04-03,183.6,,,,,,,,,,,,,
2002-04-04,183.6,,,,,,,,,,,,,
2002-04-05,176.4,,,,,,,,,,,,,
2002-04-08,176.4,,,,,,,,,,,,,
2002-04-09,176.4,,,,,,,,,,,,,
2002-04-10,172.8,,,,,,,,,,,,,
2002-04-11,165.6,,,,,,,,,,,,,
2002-04-12,169.2,,,,,,,,,,,,,
2002-04-15,169.2,,,,,,,,,,,,,
2002-04-16,176.4,,,,,,,,,,,,,
2002-04-17,176.4,,,,,,,,,,,,,
2002-04-18,165.6,,,,,,,,,,,,,
2002-04-19,165.6,,,,,,,,,,,,,
2002-04-22,165.6,,,,,,,,,,,,,
2002-04-23,165.6,,,,,,,,,,,,,
2002-04-24,216.0,,,,,,,,,,,,,
2002-04-25,216.0,,,,,,,,,,,,,
2002-04-26,212.4,,,,,,,,,,,,,
2002-04-29,201.6,,,,,,,,,,,,,
2002-04-30,198.0,,,,,,,,,,,,,
2002-05-01,187.2,,,,,,,,,,,,,
2002-05-02,183.6,,,,,,,,,,,,,
2002-05-03,187.2,,,,,,,,,,,,,
2002-05-06,172.8,,,,,,,,,,,,,
2002-05-07,162.0,,,,,,,,,,,,,
2002-05-08,162.0,,,,,,,,,,,,,
2002-05-09,183.6,,,,,,,,,,,,,
2002-05-10,183.6,,,,,,,,,,,,,
2002-05-13,162.0,,,,,,,,,,,,,
2002-05-14,158.4,,,,,,,,,,,,,
2002-05-15,158.4,,,,,,,,,,,,,
2002-05-16,158.4,,,,,,,,,,,,,
2002-05-17,162.0,,,,,,,,,,,,,
2002-05-20,162.0,,,,,,,,,,,,,
2002-05-21,162.0,,,,,,,,,,,,,
2002-05-22,133.2,,,,,,,,,,,,,
2002-05-23,147.6,,,,,,,,,,,,,
2002-05-24,147.6,,,,,,,,,,,,,
2002-05-28,147.6,,,,,,,,,,,,,
2002-05-29,154.8,,,,,,,,,,,,,
2002-05-30,147.6,,,,,,,,,,,,,
2002-05-31,162.0,,,,,,,,,,,,,
2002-06-03,144.0,,,,,,,,,,,,,
2002-06-04,144.0,,,,,,,,,,,,,
2002-06-05,144.0,,,,,,,,,,,,,
2002-06-06,143.28,,,,,,,,,,,,,
2002-06-07,143.28,,,,,,,,,,,,,
2002-06-10,162.0,,,,,,,,,,,,,
2002-06-11,162.0,,,,,,,,,,,,,
2002-06-12,162.0,,,,,,,,,,,,,
2002-06-13,162.0,,,,,,,,,,,,,
2002-06-14,158.4,,,,,,,,,,,,,
2002-06-17,158.4,,,,,,,,,,,,,
2002-06-18,189.0,,,,,,,,,,,,,
2002-06-19,189.0,,,,,,,,,,,,,
2002-06-20,216.0,,,,,,,,,,,,,
2002-06-21,189.0,,,,,,,,,,,,,
2002-06-24,189.0,,,,,,,,,,,,,
2002-06-25,180.0,,,,,,,,,,,,,
2002-06-26,180.0,,,,,,,,,,,,,
2002-06-27,180.0,,,,,,,,,,,,,
2002-06-28,180.0,,,,,,,,,,,,,
2002-07-01,187.2,,,,,,,,,,,,,
2002-07-02,187.2,,,,,,,,,,,,,
2002-07-03,189.0,,,,,,,,,,,,,
2002-07-05,189.0,,,,,,,,,,,,,
2002-07-08,189.0,,,,,,,,,,,,,
2002-07-09,180.0,,,,,,,,,,,,,
2002-07-10,176.4,,,,,,,,,,,,,
2002-07-11,167.4,,,,,,,,,,,,,
2002-07-12,162.0,,,,,,,,,,,,,
2002-07-15,154.8,,,,,,,,,,,,,
2002-07-16,154.8,,,,,,,,,,,,,
2002-07-17,147.6,,,,,,,,,,,,,
2002-07-18,153.0,,,,,,,,,,,,,
2002-07-19,151.2,,,,,,,,,,,,,
2002-07-22,153.0,,,,,,,,,,,,,
2002-07-23,138.6,,,,,,,,,,,,,
2002-07-24,153.0,,,,,,,,,,,,,
2002-07-25,150.84,,,,,,,,,,,,,
2002-07-26,144.0,,,,,,,,,,,,,
2002-07-29,151.2,,,,,,,,,,,,,
2002-07-30,151.2,,,,,,,,,,,,,
2002-07-31,151.2,,,,,,,,,,,,,
2002-08-01,151.2,,,,,,,,,,,,,
2002-08-02,144.0,,,,,,,,,,,,,
2002-08-05,144.0,,,,,,,,,,,,,
2002-08-06,144.0,,,,,,,,,,,,,
2002-08-07,136.8,,,,,,,,,,,,,
2002-08-08,136.8,,,,,,,,,,,,,
2002-08-09,136.8,,,,,,,,,,,,,
2002-08-12,136.8,,,,,,,,,,,,,
2002-08-13,136.8,,,,,,,,,,,,,
2002-08-14,140.4,,,,,,,,,,,,,
2002-08-15,126.0,,,,,,,,,,,,,
2002-08-16,126.0,,,,,,,,,,,,,
2002-08-19,126.0,,,,,,,,,,,,,
